Марка	Серия	Полная масса [кг]	Максимальный крутящий момент [Н*м]	Мощность двигателя [л.с.]	Объем двигателя [см3]	Тип двигателя	Количество цилиндров	Тип КПП	Количество передач	Привод	Объём топливного бака [л]	Разгон до 100 км/ч [сек]	Максимальная скорость [км/ч]	Расход топлива в городе на 100 км [л]
Mitsubishi	Хетчбэк	1715	141	103	1597	Бензиновый	4	Автомат	4	Передний	60	12.4	190	10.1
Mitsubishi	Хетчбэк	1715	141	103	1597	Бензиновый	4	Механика	5	Передний	60	12.4	190	10.1
Mitsubishi	Хетчбэк	1745	174	122	1834	Бензиновый	4	Автомат	4	Передний	60	10.4	200	9.2
Mitsubishi	Хетчбэк	1745	174	122	1834	Бензиновый	4	Механика	5	Передний	60	10.4	200	9.2
Mitsubishi	Хетчбэк	1795	265	115	1870	Дизельный	4	Механика	5	Передний	60	10.4	195	7.3
Mitsubishi	Хетчбэк	1795	215	102	1870	Дизельный	4	Механика	5	Передний	60	11.9	190	7.1
Mitsubishi	Хетчбэк	1035	126	90	1468	Бензиновый	4	Механика	5	Передний	50	11	170	8
Mitsubishi	Хетчбэк	1550	162	136	1836	Бензиновый	4	Механика	5	Передний	50	7.9	136	11.1
Mitsubishi	Хетчбэк	1465	108	75	1298	Бензиновый	4	Автомат	5	Передний	50	15.8	160	8.5
Mitsubishi	Хетчбэк	1445	108	75	1298	Бензиновый	4	Механика	5	Передний	50	12.5	170	7.8
Mitsubishi	Хетчбэк	1445	120	82	1298	Бензиновый	4	Механика	5	Передний	50	12.5	170	8.7
Mitsubishi	Хетчбэк	1480	141	103	1597	Бензиновый	4	Автомат	4	Передний	50	12.3	180	11.2
Mitsubishi	Хетчбэк	1470	137	90	1597	Бензиновый	4	Автомат	4	Передний	50	10.5	180	9.5
Mitsubishi	Хетчбэк	1470	141	103	1597	Бензиновый	4	Механика	5	Передний	50	10.5	185	9.7
Mitsubishi	Хетчбэк	1480	137	90	1597	Бензиновый	4	Механика	5	Передний	50	10.5	185	8.6
Mitsubishi	CZC кабриолет	1460	145	109	1499	Бензиновый	4	Механика	5	Передний	47	10.5	185	8.7
Mitsubishi	CZC кабриолет	1530	210	150	1468	Бензиновый	4	Механика	5	Передний	47	8.4	205	8.9
Mitsubishi	JP-spec хетчбэк 5-дв.	1450	100	75	1124	Бензиновый	3	Механика	5	Передний	47	13	165	7
Mitsubishi	JP-spec хетчбэк 5-дв.	1460	125	95	1332	Бензиновый	4	Робот	6	Передний	47	12	180	7.5
Mitsubishi	JP-spec хетчбэк 5-дв.	1460	125	95	1332	Бензиновый	4	Механика	5	Передний	47	11.1	180	7.4
Mitsubishi	JP-spec хетчбэк 5-дв.	1465	145	109	1499	Бензиновый	4	Робот	6	Передний	47	11.3	190	8.2
Mitsubishi	JP-spec хетчбэк 5-дв.	1570	210	95	1493	Дизельный	3	Робот	6	Передний	47	9.9	180	5.5
Mitsubishi	JP-spec хетчбэк 5-дв.	1570	210	95	1493	Дизельный	3	Механика	5	Передний	47	9.9	180	5.9
Mitsubishi	JP-spec хетчбэк 5-дв.	1465	145	109	1499	Бензиновый	4	Механика	5	Передний	47	10	190	8
Mitsubishi	Ralliart Version-R хетчбэк 5-дв.	1520	210	152	1468	Бензиновый	4	Механика	5	Передний	47	8	210	8.6
Mitsubishi	Ralliart хетчбэк 5-дв.	1520	210	150	1468	Бензиновый	4	Механика	5	Передний	47	8	210	8.6
Mitsubishi	Хетчбэк 3-дв.	1420	100	75	1124	Бензиновый	3	Механика	5	Передний	47	12.9	165	7
Mitsubishi	Хетчбэк 3-дв.	1435	125	95	1332	Бензиновый	4	Робот	6	Передний	47	11.8	180	7.5
Mitsubishi	Хетчбэк 3-дв.	1435	125	95	1332	Бензиновый	4	Механика	5	Передний	47	11	180	7.7
Mitsubishi	Хетчбэк 3-дв.	1570	210	95	1493	Дизельный	3	Робот	6	Передний	47	9.9	180	5.5
Mitsubishi	Хетчбэк 3-дв.	1545	210	95	1493	Дизельный	3	Механика	5	Передний	47	9.9	180	6.3
Mitsubishi	Хетчбэк 3-дв.	1440	145	109	1499	Бензиновый	4	Механика	5	Передний	47	9.8	190	8
Mitsubishi	Хетчбэк 3-дв.	1520	210	150	1468	Бензиновый	4	Механика	5	Передний	47	8	210	8.6
